id,name
NJ_college_m_Princeton,Princeton
NC_college_m_Charlotte,Charlotte
MN_college_m_Minnesota,Minnesota
UT_college_m_Southern_Utah,Southern Utah
MI_college_m_Michigan,Michigan
IL_college_m_Eastern_Illinois,Eastern Illinois
SC_college_m_Charleston_Southern,Charleston Southern
DC_college_m_Georgetown_DC,Georgetown
SC_college_m_Furman,Furman
AL_college_m_South_Alabama,South Alabama
AR_college_m_Arkansas_State,Arkansas State
TX_college_m_Texas_AM_CC,Texas A&M-CC
PA_college_m_Penn,Penn
TN_college_m_Tennessee,Tennessee
ID_college_m_Boise_State,Boise State
OH_college_m_Cincinnati,Cincinnati
IN_college_m_Purdue,Purdue
IA_college_m_Drake,Drake
TN_college_m_Lipscomb,Lipscomb
TX_college_m_Texas_State,Texas State
NY_college_m_Cornell,Cornell
IN_college_m_Indiana_IN,Indiana
LA_college_m_SE_Louisiana,SE Louisiana
WA_college_m_Washington_State,Washington St.
GA_college_m_Georgia,Georgia
MI_college_m_Eastern_Michigan,Eastern Michigan
IL_college_m_Illinois,Illinois
TN_college_m_Mid_Tenn_State,Mid. Tenn. State
CA_jcollege_m_Mt_SAC,Mt. SAC
CA_jcollege_m_Hartnell,Hartnell
CA_jcollege_m_Chabot,Chabot
CA_jcollege_m_San_Diego_Mesa,San Diego Mesa College
CA_jcollege_m_Riverside,Riverside
CA_jcollege_m_Cuyamaca,Cuyamaca
CA_jcollege_m_De_Anza,De Anza
CA_jcollege_m_Saddleback,Saddleback
CA_jcollege_m_Glendale,Glendale
CA_jcollege_m_Modesto,Modesto
CA_jcollege_m_Bakersfield,Bakersfield
CA_jcollege_m_American_River,American River
CA_jcollege_m_San_Joaquin_Delta,San Joaquin Delta
CA_jcollege_m_Santa_Ana,Santa Ana
CA_jcollege_m_Moorpark,Moorpark
CA_jcollege_m_Santa_Monica,Santa Monica
CA_jcollege_m_Ventura,Ventura
CA_jcollege_m_Orange_Coast,Orange Coast
CA_jcollege_m_Golden_West,Golden West
CA_jcollege_m_San_Bernardino_Valley,San Bernardino Valley
CA_jcollege_m_Cuesta,Cuesta
CA_jcollege_m_Butte,Butte
CA_jcollege_m_Santa_Rosa,Santa Rosa
CA_jcollege_m_Long_Beach,Long Beach
CA_jcollege_m_Sequoias,Sequoias
CA_jcollege_m_Desert,Desert
CA_jcollege_m_Imperial_Valley,Imperial Valley
CA_jcollege_m_Clovis_CC,Clovis CC
CA_jcollege_m_Victor_Valley,Victor Valley
CA_jcollege_m_El_Camino,El Camino
CA_jcollege_m_Monterey_Peninsula,Monterey Peninsula
CA_jcollege_m_Fullerton,Fullerton
CA_jcollege_m_Cerritos,Cerritos
CA_jcollege_m_LA_Harbor,LA Harbor
CA_jcollege_m_San_Mateo,San Mateo
CA_jcollege_m_Diablo_Valley,Diablo Valley
CA_jcollege_m_Sacramento,Sacramento
CA_jcollege_m_Chaffey,Chaffey
CA_jcollege_m_Los_Angeles_Mission_College,Los Angeles Mission
CA_jcollege_m_Pasadena,Pasadena
CA_jcollege_m_Santiago_Canyon,Santiago Canyon
OK_college_m_Oklahoma_City,Oklahoma City
ID_college_m_College_of_Idaho,College of Idaho
MI_college_m_Cornerstone,Cornerstone
KS_college_m_Friends,Friends
OR_college_m_Oregon_Tech,Oregon Tech
KS_college_m_StMary-KS,St. Mary (Kan.)
CA_college_m_University_of_Antelope_Valley,Antelope Valley
ID_college_m_Lewis_Clark,Lewis-Clark
IN_college_m_Huntington,Huntington
TN_college_m_Milligan,Milligan
IN_college_m_Taylor,Taylor
OR_college_m_Eastern_Oregon,Eastern Oregon
IL_college_m_St_Francis_IL,St. Francis (Ill.)
IN_college_m_Grace,Grace
IN_college_m_Indiana_Wesleyan,Indiana Wesleyan
TX_college_m_Wayland_Baptist,Wayland Baptist
IN_college_m_Goshen,Goshen
IL_college_m_Olivet_Nazarene,Olivet Nazarene
NC_college_m_Montreat,Montreat
CA_college_m_The_Masters,The Master's
AZ_college_m_Embry-Riddle_Arizona,Embry-Riddle Arizona
OH_college_m_Shawnee_State,Shawnee State
IA_college_m_Dordt,Dordt
OH_college_m_Rio_Grande,Rio Grande
OR_college_m_Southern_Oregon,Southern Oregon
CA_college_m_Westmont,Westmont
WA_college_m_Northwest_U,Northwest U.
IA_college_m_Grand_View,Grand View
MT_college_m_Rocky_Mountain,Rocky Mountain
IA_college_m_St_Ambrose,St. Ambrose
MO_college_m_Central_Methodist,Central Methodist
IN_college_m_Marian_IN,Marian (Ind.)
KY_college_m_Campbellsville,Campbellsville
LA_college_m_Loyola_New_Orleans,Loyola-New Orleans
KS_college_m_Southwestern_KS,Southwestern (Kan.)
MI_college_m_MichiganDearborn,Michigan-Dearborn
GA_college_m_Life,Life
IA_college_m_Northwestern_IA,Northwestern (Iowa)
WI_college_m_Viterbo,Viterbo
MI_college_m_Aquinas,Aquinas
IN_college_m_Calumet_St_Joseph,Calumet-St. Joseph
KY_college_m_Midway,Midway
