id,first_name,last_name,team_id
5483505,Trevor,Lockman,CO_college_m_Colorado_Mines
5483507,Logan,Ramlet,CO_college_m_Colorado_Mines
5483673,Eric,Mellmer,UT_college_m_Westminster_Utah
5483860,Peter,Spencer,ID_college_m_Lewis_Clark
5483995,De-Andre,Steward,OH_college_m_Mount_Vernon_Nazarene
5484091,Ryan,Polk,GA_college_m_Clayton_State
5484094,Travet,Witherspoon,GA_college_m_Clayton_State
5484104,Carlos,Villarreal,AZ_college_m_Arizona
5484121,Josh,Collins,UT_college_m_Southern_Utah
5484154,Jason,Quinn,UT_college_m_Southern_Utah
5484160,Jaison,Morning,GA_college_m_Valdosta_State
5484256,Jacob,Kernell,OH_college_m_Walsh
5484268,Spencer,Wirick,OH_college_m_Walsh
5485387,Adolfo,Carvalho,TX_college_m_Rice
5485389,Connor,Meaux,TX_college_m_Rice
5485499,Ben,Broze,MN_college_m_SW_MN_ST
5486201,Devan,Shumway,ND_college_m_Minot_State
5486415,Noah,Mandel,PA_college_m_Indiana_PA
5486571,Alex,Egbert,WI_college_m_Wis_Stevens_Point
5486576,Robert,Lutz,WI_college_m_Wis_Stevens_Point
5486577,Silas,Nelson,WI_college_m_Wis_Stevens_Point
5486579,Tyler,Tanko,WI_college_m_Wis_Stevens_Point
5486838,Grant,LaSelle,TX_college_m_Texas_Tech
5486960,Matthew,Novak,VA_college_m_Virginia
5486961,Alex,Corbett,VA_college_m_Virginia
5486985,Ari,Klau,VA_college_m_Virginia
5487705,Aaron,Bush,WV_college_m_Ohio_Valley
5488377,Seth,Farmer,OH_college_m_Shawnee_State
5488652,Elijah,Inuwa,NC_college_m_Queens_NC
5488653,Jose,Rosas,NC_college_m_Queens_NC
5488807,Steven,Homecgoy,IL_college_m_St_Francis_IL
5489124,Dwain,Stucker,ID_college_m_Idaho
5489125,Drew,Schultz,ID_college_m_Idaho
5489204,Thomas,Eichorn,NC_college_m_Belmont_Abbey
5489295,Reid,Muller,WA_college_m_Washington_State
5489431,Calvin,Ong,OR_college_m_Linfield
5489470,Drew,Cyr,ME_college_m_Maine_Maritime
5489487,Tim,McPherson,OR_college_m_Oregon_Tech
5489549,Nathan,Crowson,OK_college_m_Oklahoma_Baptist
5490991,Liam,Rodgers,NY_college_m_Utica
5491904,Keaton,Howerton,TX_college_m_Lubbock_Christian
5491906,Luis,Macias,TX_college_m_Lubbock_Christian
5491907,Jacob,Nava,TX_college_m_Lubbock_Christian
5491912,Josh,Ybarra,TX_college_m_Lubbock_Christian
5492398,Sean,Kane,50894
5492400,Nathan,Hohulin,50894
5493769,Jack,Miles,MI_college_m_Lake_Superior_State
5493772,Garrett,Smith,MI_college_m_Lake_Superior_State
5493776,Zachary,Workman,MI_college_m_Lake_Superior_State
5493777,Parker,Wyngaard,MI_college_m_Lake_Superior_State
5494132,Jonathan,Allen,OH_college_m_Findlay
5494135,Ty,Gleason,SC_college_m_Anderson_SC
5494136,Austin,Guthrie,OH_college_m_Findlay
5494139,Michael,Taylor,OH_college_m_Findlay
5494186,Tyler,Phillips,OK_college_m_Oklahoma
5494197,Danny,Bahret,52987
5494198,Stephen,Wilder,52987
5494199,Skyler,Ficht,52987
5494200,Kevin,Hardin,52987
5494202,John,Niendorf,52987
5494204,Wes,Addison,52987
5494205,Eddie,Solorio,52987
5494206,Patrick,Haaker,52987
5494560,Jackson,Waters,IL_college_m_Lewis
5494575,Preston,Brooks,TX_college_m_Angelo_State
5494746,Brandon,Battle,FL_college_m_West_Florida
5494749,Micah,Kemp,FL_college_m_West_Florida
5494767,Ethan,Newland,VA_college_m_George_Mason
5494953,Corey,Hermann,SD_college_m_Dakota_State
5495399,Rashid,Abuelmaali,NY_college_m_Alfred
5495592,Euan,Makepeace,IN_college_m_Butler
5495593,Eric,Baugh,IN_college_m_Butler
5495659,Kian,Hartley,CO_college_m_Regis_CO
5495751,David,Jaszczak,MI_college_m_Michigan_Tech
5495753,Bernard,Kluskens,MI_college_m_Michigan_Tech
5495754,Brendan,Klynstra,MI_college_m_Michigan_Tech
5495793,Matthew,Pahl,MI_college_m_Michigan_Tech
5495889,Brett,Cortelletti,OH_college_m_Malone
5495895,George,McCartney,OH_college_m_Malone
5495950,Evan,MacMullin,PA_college_m_Juniata
5495967,Julius,Diehr,WA_college_m_Washington
5496144,John,Blake,NY_college_m_Ithaca
5496159,Chase,Cayo,SD_college_m_South_Dakota_St
5496163,Lukas,Nelson,SD_college_m_South_Dakota_St
5496224,Joshua,Pitts,IL_college_m_Olivet_Nazarene
5496226,John,Richardson,IL_college_m_Olivet_Nazarene
5496487,Larry,Filer,OK_college_m_East_Central
5496639,Tellis,Donajkowski,MI_college_m_Saginaw_Valley
5496640,Parker,Eisengruber,MI_college_m_Saginaw_Valley
5496642,Nate,Frasier,MI_college_m_Saginaw_Valley
5496644,Timmy,Kimball,MI_college_m_Saginaw_Valley
5496679,Jordan,Walters,MI_college_m_Saginaw_Valley
5496776,Luke,Holtzman,NY_college_m_Geneseo_St
5497622,Damien,Halverson,MI_college_m_Ferris_State
5497623,Zach,Mckenzie,MI_college_m_Ferris_State
5497959,Stephen,Wofford,NC_college_m_Wingate
5497960,Dalton,Cox,NC_college_m_Wingate
5498806,George,Gleason,CA_college_m_UCLA
5498807,Millen,Trujillo,CA_college_m_UCLA
5498809,Colin,Burke,CA_college_m_UCLA
5498810,Arturo,Sotomayor,CA_college_m_UCLA
5499058,Ka Yu,Tse,WI_college_m_Wisconsin_Lutheran
5499247,Jake,Caruso,NJ_college_m_Rowan
5499644,George,Harter,PA_college_m_Carnegie_Mellon
5499736,Crisman,Jones,FL_college_m_Flagler
5499785,Billy,Beseman,SD_college_m_Sioux_Falls
5499786,Steven,Brown,SD_college_m_Sioux_Falls
