id,name,date,distance,venue,city
15488,Wyoming Invite,09/06/2019,5000.0,Wyoming,"Laramie, WY 82071"
15489,Blazer Classic,10/18/2019,8000.0,Montevallo XC Course,985 Shelby Street
15494,SIUE John Flamer Invite,09/13/2019,8000.0,SIUE Cross Country Course,"Edwardsville, IL 62026"
15498,Wellesley College XC Invitational,08/30/2019,5000.0,Wellesley College,"Wellesley, MA 2481"
15499,Carolina Challenge,08/31/2019,5000.0,South Carolina,"Columbia, SC 29208"
15501,All-Ohio Cross Country Championships,09/28/2019,8000.0,Elvin R King XC Course,"Cedarville, OH 45314"
15504,Bryn Mawr Invitational,08/30/2019,5000.0,Rose Tree Park,"Media, PA 19063"
15512,Dan Talbot Open,09/27/2019,8000.0,Rose Tree Park,"Media, PA 19063"
15514,Bear Twilight,08/30/2019,6000.0,HOT Soccer Fields,6101 Airport Rd
15515,Mountaineer/Cowboy Invite,09/14/2019,8000.0,Van Tuyl Ranch,"Gunnison, CO, CO 81230"
15519,Southern Unviersity XC Invitational,09/07/2019,6000.0,West Feliciana Park,"St. Francisville, LA 70775"
15520,10th Annual Galen Piper Cross Country Challenge,09/06/2019,6000.0,Shippensburg University,"Shippensburg, PA 17257"
15521,Queen City Invite,09/27/2019,8000.0,McAlpine Creek Park,"Charlotte, NC"
15523,Worcester City Cross Country Meet,09/07/2019,8000.0,"Moore State Park - Paxton, MA",Route 31
15525,FAU Collegiate Cross Country Invitational,08/30/2019,5000.0,Florida Atlantic,12551 Glades Rd
15535,2019 Charger Invitational,09/20/2019,7996.0,Lancaster Bible College,901 Eden Road
15538,2019 Cougar Classic,08/30/2019,5000.0,Indiana Kokomo,"Kokomo, IN"
15539,Eagle Cross Country Challenge,08/30/2019,4827.0,Bridgewater College,"Bridgewater, VA 22812"
15540,Beloit College Early Bird,08/31/2019,6000.0,Kieselburg Forest Preserve,-
15543,23rd Annual Salisbury U Fall Classic,08/31/2019,8000.0,Winter Place Park,"Salisbury, MD 19801"
15544,31st Annual Don Cathcart Invitational,10/05/2019,8000.0,"Winter Place Park, Salisbury, MD","Salisbury, MD 19801"
15555,George Kyte Classic,09/07/2019,7240.0,Buffalo Park,2400 N Gemini Rd
15560,Sunshine State Cross Country Championships,10/26/2019,8000.0,South County Park,"Boca Raton, FL"
15563,Early Bid Eagles Opener,08/31/2019,5000.0,Univ of the Ozarks,"Clarksville, AR"
15564,University of the Ozarks CC Invitational,09/14/2019,8000.0,Univ of the Ozarks Trails,"Clarksville, AR"
15568,2019 Blue Gold Invitational,08/31/2019,4000.0,The College of New Jersey,"Ewing, NJ 08628"
15570,Ash Creek Festival,09/06/2019,6000.0,Western Oregon University,"Monmouth, OR 97361"
15571,Big South Preview,09/14/2019,8000.0,Campbell University,"Buis Creek, NC 27546"
15575,Fort Lewis XC Meet,10/04/2019,8000.0,Fort Lewis,18683 CO-140
15583,Goucher College Cross Country Classic,10/05/2019,8000.0,Goucher College,"Towson, MD 21215"
15584,Shannon Henretty Invitational,09/07/2019,8000.0,Stevenson University,"Stevenson, MD 21153"
15591,2019 MAAC Cross Country Championships,11/02/2019,8000.0,Holmdel Park,Hosted by: Monmouth Universi
15599,New Paltz Cross Country Invitational,09/14/2019,8000.0,Hudson Valley Sports Dome,"Milton, NY"
15600,Major Invitational,09/28/2019,5000.0,Choctaw Trails,"Clinton, MS 39058"
15601,JK Gold Classic - College/University,09/07/2019,6000.0,RAFT Golf Course,"Augusta, KS 67260"
15604,UNF - UF Cross Country Dual,08/30/2019,4827.0,UNF Golf Course,"Jacksonville, FL 11111"
15605,2019 Ken Garland Invitational,09/07/2019,6436.0,"University of North Texas, Discovery Park",3940 N. Elm St.
15606,CWU XC Apple Ridge Inv.,09/14/2019,6000.0,Apple Ridge Run Cross Country Course,"Yakima, WA 98926"
15608,Henry Mercer Monmouth University Cross Country Invitational,09/21/2019,8045.0,Holmdel Park,"Holmdel, NJ 07733"
15609,17th Annual CCSU Ted Owen Cross Country Invitational,09/28/2019,8000.0,"STANLEY QUARTER PARK - NEW BRITAIN, CT","NEW BRITAIN, CT 06050"
15610,17th Annual CCSU Mini Meet,10/25/2019,5000.0,"STANLEY QUARTER PARK - NEW BRITAIN, CT","NEW BRITAIN, CT 06050"
15612,MSJ Run with the Lions,09/20/2019,8000.0,"Blue River CC Venue, Blue River Memorial Park","Shelbyville, IN 46176"
15614,FGCU Cross Country Invitational,09/07/2019,8000.0,FGCU,"Fort Myers, FL 11111"
15615,Rumble in the Fort,09/13/2019,8000.0,Indiana Tech,"Fort Wayne, IN 46803"
15616,Greeno/Dirksen Invitational,09/21/2019,8000.0,Mahoney Golf Course,7900 Adams Street
15617,2019 Winthrop/ADIDAS Cross Country Invitational,09/14/2019,8000.0,Winthrop Farm Cross Country Course,"Rock Hill, SC 29733"
15622,UB Stampede XC Invite,09/13/2019,8000.0,Audubon Golf Course,"Amherst, NY 14260"
15623,Golden Bear Classic IV,09/06/2019,4000.0,West Virginia Tech,"Beckley, WV 25801"
15627,2019 Steven A. Warde Invitational,09/07/2019,8000.0,SUNY Cobleskill,"Cobleskill, NY 12043"
15628,Argonaut Invitational,09/21/2019,8000.0,University of West Florida,"Pensacola, FL 32514"
15630,TCNJ XC Invitational,09/13/2019,6000.0,Green Lane Fields,"Ewing, NJ 08628"
15637,Forester Invitational,09/20/2019,8000.0,Foss Park Golf Course,-
15639,2019 Leopard Cross Country Invitational,10/19/2019,8000.0,"Metzger Field, Lafayette College, Easton, PA","Easton, PA 18042"
15640,ACCAC Cross Country Championships,09/28/2019,12872.0,Riggs Stadium,1833 W Southern Ave
15641,Lou Vasquez Invitational,09/19/2019,6436.0,Polo Fields -Golden Gate Park,"San Francisco, CA 94112"
15644,2019 Shacklette X-C Invitational,09/07/2019,8000.0,Saint Anselm College,"Manchester, NH 03102"
15647,2019 UTA Gerald Richey Invitational,09/14/2019,5020.0,Jesse Owens Athletic Complex,", TX"
15648,2019 UCF Cross Country Invitational,09/27/2019,8000.0,UCF Campus,"Orlando, FL 11111"
15650,Stony Brook University Cross Country Season Opener,08/31/2019,6000.0,Stony Brook University,Stony Brook
15652,2019 ODAC Cross Country Championships,11/02/2019,8000.0,Green Hill Park,"Roanoke, VA 24153"
15653,UIS Prairie Star Invitational,09/06/2019,7000.0,Illinois-Springfield,"Springfield, IL"
15657,Falcon Invitational,09/06/2019,8000.0,Kilkarney Hills Golf Course -,"River Falls, WI 54022"
15658,Tennessee Tri-Star Cross Country Challenge,08/30/2019,6436.0,Tennessee Tri-Star Cros Country Challenge,2450 E J. Chapman Dr.
15660,USD Invite,09/13/2019,8000.0,Mission Bay,"San Diego, CA 85713"
15661,2019 Navy Cross Country Invitational,09/14/2019,7884.0,Naval Academy Golf Course,"Annapolis, MD 21402"
15662,Embry-Riddle Arizona Invitational,09/14/2019,7998.0,Venue Not Supplied,"City Not Supplied, AZ"
15664,Coyote challenge,09/21/2019,8000.0,UC San Bernardino,"Riverside, CA 85713"
15676,University of Montana Cross Country Invitational,10/04/2019,7996.0,University of Montana,"Missoula, MT 59801"
15677,2019 UCSB Lagoon Meet,08/31/2019,8000.0,UCSB,"Santa Barbara, CA 93106"
15678,PROVIDENCE OPEN,09/20/2019,7996.0,Great Falls,"Great Falls, MT 59401"
15679,Lehigh vs Lafayette Dual Meet,09/14/2019,8000.0,Murray H Goodman Campus,150 Goodman Drive
15681,Murray State Open,10/18/2019,8000.0,Miller Memorial Golf Course,"Murray, KY 42071"
